Tm,G,Plays,ToGo,Yds,1st%,TO%,TD,FG,Int,Fmb,Sk,Pass
ATL,16,129,9.4,12.7,50.40%,4.70%,8,0,6,0,0,129
BUF,16,109,10.2,13.4,47.70%,6.40%,13,0,7,0,0,109
CAR,16,103,9.8,13.9,47.60%,6.80%,4,0,7,0,0,103
CHI,16,119,8.7,8.7,34.50%,10.10%,5,0,12,0,0,119
CIN,16,107,8.9,7.7,30.80%,4.70%,2,0,5,0,0,107
CLE,16,97,9.3,13,47.40%,4.10%,7,0,4,0,0,97
IND,16,94,9.2,12.3,46.80%,6.40%,5,0,6,0,0,94
ARI,16,96,9.5,12.5,37.50%,5.20%,8,0,5,0,0,96
DAL,16,97,9.7,12.4,41.20%,3.10%,7,0,3,0,0,97
DEN,16,119,9.4,10.8,36.10%,8.40%,7,0,10,0,0,119
DET,16,111,9.7,13.1,46.80%,2.70%,8,0,3,0,0,111
GNB,16,101,9.4,14.8,42.60%,1.00%,13,0,1,0,0,101
HOU,16,104,9,15.7,53.80%,4.80%,15,0,5,0,0,104
JAX,16,112,8.9,10.3,40.20%,8.00%,8,0,9,0,0,112
KAN,16,104,9.6,12.4,41.30%,3.80%,14,0,3,1,0,104
MIA,15,87,9.1,12.2,48.30%,6.90%,4,0,6,0,0,87
MIN,15,97,9.1,14.8,53.60%,6.20%,9,0,6,0,0,97
NOR,16,76,8.9,14.9,63.20%,2.60%,7,0,2,0,0,76
NWE,16,66,10.3,12.2,45.50%,6.10%,3,0,3,1,0,66
NYG,16,78,9,13.7,50.00%,3.80%,6,0,1,2,0,78
NYJ,16,106,8.9,8.5,30.20%,5.70%,8,0,6,0,0,106
TEN,16,66,8.7,15.5,51.50%,3.00%,8,0,2,0,0,66
PHI,16,121,10.3,10.4,33.90%,9.10%,9,0,11,0,0,121
PIT,16,108,8.8,10.3,36.10%,4.60%,12,0,5,0,0,108
LVR,16,98,8,15.6,46.90%,3.10%,13,0,3,0,0,98
LAR,15,79,8.2,10.2,39.20%,3.80%,3,0,3,0,0,79
BAL,16,78,9.4,11.6,39.70%,5.10%,11,0,4,0,0,78
LAC,16,110,9.4,13,42.70%,5.50%,12,0,6,0,0,110
SEA,16,94,8.9,12.8,40.40%,6.40%,13,0,5,1,0,94
SFO,16,75,9.2,14.4,53.30%,6.70%,2,0,5,0,0,75
TAM,16,134,9.8,13.8,45.50%,5.20%,13,0,7,0,0,134
WAS,15,85,9.4,9.6,34.10%,7.10%,5,0,6,0,0,85
