Tm,G,Plays,ToGo,Yds,1st%,TO%,TD,FG,Int,Fmb,Sk,Rush
BAL,16,555,7.8,5.5,30.60%,0.90%,24,0,0,5,0,555
NOR,16,494,7.6,4.6,30.00%,0.60%,30,0,0,3,0,494
MIN,16,468,7.8,4.9,29.90%,0.60%,20,0,0,3,0,468
BUF,16,411,7.5,4.2,29.70%,1.20%,16,0,0,5,0,411
NWE,16,502,7.7,4.7,28.90%,0.20%,20,0,0,1,0,502
PHI,16,403,8,5,28.80%,1.50%,17,0,0,6,0,403
ARI,16,479,7.8,4.7,28.80%,0.20%,22,0,0,1,0,479
SEA,16,410,8.2,4.8,28.50%,0.50%,15,0,0,2,0,410
IND,16,459,7.8,4.3,28.50%,0.20%,20,0,0,1,0,459
KAN,16,403,7.9,4.5,28.50%,0.20%,13,0,0,1,0,403
DAL,16,427,7.6,4.2,27.90%,1.20%,14,0,0,5,0,427
TEN,16,520,8,5.2,27.90%,0.40%,26,0,0,2,0,520
CLE,16,494,8.2,4.8,27.30%,0.40%,21,0,0,2,0,494
WAS,16,400,8,4,27.30%,0.00%,18,0,0,0,0,400
CAR,16,405,7.8,4.1,26.90%,0.50%,19,0,0,2,0,405
LVR,16,455,7.7,4.2,26.80%,0.90%,20,0,0,4,0,455
LAR,16,456,7.9,4.3,26.30%,0.70%,19,0,0,3,0,456
GNB,16,443,7.9,4.8,26.20%,0.20%,16,0,0,1,0,443
DET,16,366,7.8,4.1,25.70%,1.60%,17,0,0,6,0,366
HOU,16,344,7.9,4.3,25.30%,1.20%,10,0,0,4,0,344
LAC,16,465,7.9,3.9,24.30%,0.40%,12,0,0,2,0,465
JAX,16,337,8.5,4.5,24.00%,0.30%,9,0,0,1,0,337
MIA,16,425,7.5,3.9,23.80%,1.20%,15,0,0,5,0,425
CHI,16,392,7.8,4.2,23.70%,0.00%,12,0,0,0,0,392
SFO,16,437,8.2,4.3,23.60%,0.70%,19,0,0,3,0,437
NYJ,16,406,8.2,4.1,23.60%,0.20%,9,0,0,1,0,406
NYG,16,379,8.3,4.4,23.50%,0.80%,13,0,0,3,0,379
PIT,16,373,7.8,3.6,23.10%,0.50%,12,0,0,2,0,373
TAM,16,369,8.2,4.1,22.80%,0.30%,16,0,0,1,0,369
CIN,16,409,7.6,4,22.50%,1.20%,13,0,0,5,0,409
DEN,16,441,8.5,4.3,22.20%,0.70%,13,0,0,3,0,441
ATL,16,408,7.9,3.8,21.80%,0.50%,13,0,0,2,0,408
