Team,yardsdeep,yardsshort,yardsrushing
ARI,1200,2867,2251.3
ATL,1638.3,2982,1550.4
BAL,904.8,2008.8,3052.5
BUF,1460.6,3304.8,1726.2
CAR,1431.7,2664,1660.5
CHI,1035.3,2902.8,1646.4
CIN,823.9,2954.7,1636
CLE,1261,2433.9,2371.2
DAL,1202.8,3329.4,1793.4
DEN,1285.2,2387,1896.3
DET,1454.1,2956.8,1500.6
GNB,1494.8,2827.4,2126.4
HOU,1632.8,3204.7,1479.2
IND,1156.2,3035.1,1973.7
JAN,1153.6,2805.6,1516.5
KAN,1289.6,3720.4,1813.5
LAC,1430,3129.3,1813.5
LAR,805.8,3242.8,1960.8
LVR,1528.8,2867.2,1911
MIA,1061.4,2854.8,1657.5
MIN,1435.6,2828.8,2293.2
NOR,1132.4,2797.2,2272.4
NWE,805.2,2306.4,2359.4
NYG,1068.6,2106,1667.6
NYJ,901,2223,1664.6
PHI,1258.4,2464.8,2015
PIT,1112.4,3014,1342.8
SEA,1203.2,3042,1968
SFO,1080,3260.4,1879.1
TAM,1849.2,2910,1512.9
TEN,1023,2793.9,2704
WAS,816,2981.2,1600
